author,content,date_time,id,language,number_of_likes,number_of_shares
shakira,"""No podemos hacer una pausa y pedirle a estos niños que nos esperen"" Vean/lean el discurso de Shak en #wef17 https://t.co/kn6Qp6vUYn ShakHQ",16/01/2017 20:50,8.21E+17,es,1502,327
shakira,Shak se encuentra en el #wef17 donde hablará sobre Desarrollo Infantil Temprano y recibirá el premio Cristal. https://t.co/ZZp0XK58FC ShakHQ,16/01/2017 17:37,8.21E+17,es,1203,227
shakira,El video de Chantaje con @maluma es el tercer video en llegar más rápido a las 400 millones de reproducciones! Shak… https://t.co/U2G5fd0Me3,13/01/2017 18:10,8.20E+17,es,2478,548
shakira,100 millones en Spotify -- Ustedes son los MEJORES! Más en 2017. Shak https://t.co/EAtARlrG6F,08/01/2017 18:49,8.18E+17,es,2575,502
shakira,Adivinen a quien le salió el rey en el roscón? Shak https://t.co/iar3pPtKuK,06/01/2017 16:45,8.17E+17,es,11654,1324
shakira,Mañana cierran las votaciones para los @premiolonuestro! Shak está nominada en 3 categorías! Para votar -&gt;… https://t.co/18mhc2w7ES,06/01/2017 00:06,8.17E+17,es,2988,514
shakira,Check out #Chantaje ft @Maluma on @Spotify's Viva Latino playlist! Chantaje está en la playlist Viva Latino! ShakHQ… https://t.co/jcNur1vfCL,05/01/2017 17:24,8.17E+17,es,3534,642
shakira,Acabamos de conocer que #Chantaje con @maluma tuvo este fin de año 2.45 millones de reproducciones en @Spotify! SHQ https://t.co/EAtARlrG6F,04/01/2017 19:26,8.17E+17,es,2239,478
shakira,Linda razón para desconcentrarse jugando al golf con Chantaje! What a good reason to get distracted while playing g… https://t.co/Rs3DKsufnq,04/01/2017 15:45,8.17E+17,es,8442,1063
shakira,Feliz 2017 de los Piqué Mebarak! Happy 2017 from the Piqué Mebarak family! https://t.co/XIayfbHnZK,31/12/2016 22:58,8.15E+17,es,18676,3775
shakira,Gracias a todos por regalarme un año más disfrutando de hacer música y compartiéndola con ustedes! Mucha paz y aleg… https://t.co/B7xJ7YNs7m,31/12/2016 22:26,8.15E+17,es,15007,1645
shakira,Quién ha incluido Chantaje en su playlist de @Spotify de fin de año? Nos indican dónde van a celebrarlo? https://t.co/EAtARlrG6F ShakHQ,31/12/2016 14:53,8.15E+17,es,2121,369
shakira,"Mejor regalo de Navidad, imposible! #Chantaje es #1 en la Lista de @Los40_Spain!  https://t.co/9llf49mAaE ShakHQ https://t.co/koZk2VDSrJ",25/12/2016 15:12,8.13E+17,es,4899,917
shakira,Feliz Navidad! Los quiero! Shak https://t.co/VeI9kXP0YM,24/12/2016 21:34,8.13E+17,es,13930,2364
shakira,Los jugadores de la @FCBEscola celebrando su participación en el Torneo Las Américas con La Bicicleta! Shak https://t.co/6FHt3emYox,22/12/2016 16:27,8.12E+17,es,3904,742
shakira,"200 millones de visitas para nuestro video Chantaje en un mes, 200 millones de gracias! 😘 Shak https://t.co/gwYGo1adam",20/12/2016 22:51,8.11E+17,es,4716,744
shakira,"#Chantaje es la primera canción en español en @Spotify (y una de las más reproducidas alrededor del mundo)
ShakHQ https://t.co/pLd2EnCUDw",16/12/2016 17:27,8.10E+17,es,2326,535
shakira,Brindemos por ello! El video de Chantaje con @maluma ya tiene 150 millones de reproducciones! ShakHQ https://t.co/guwH7VHuKl,14/12/2016 17:08,8.09E+17,es,9943,1530
shakira,#Chantaje entra en el listado de las mejores canciones de este año de @billboard en la posición #22! ShakHQ https://t.co/V8E2rXGOJb,13/12/2016 15:24,8.09E+17,es,1819,410
shakira,Amazing #Chantaje moves from @Gianluca_Vacchi &amp; Giorgia Gabriele! Un video increíble de @Gianluca_Vacchi y Giorgia… https://t.co/Niyj7rKURi,13/12/2016 00:17,8.08E+17,es,3698,727
shakira,VIDEO: Practicando @zumba alrededor del mundo a ritmo de #Chantaje! ShakHQ https://t.co/u4iDFY81mp,12/12/2016 17:58,8.08E+17,es,4900,886
shakira,No wonder I get burned with curling irons all the time/ Ya sé porque me quemo con las tenacillas todo el tiempo! No… https://t.co/hKEfAQYWBT,11/12/2016 21:43,8.08E+17,es,9837,1344
shakira,"En esta foto cuando estábamos en construcción la playa, con DAYANA la campeona Panamericana @fpiesdescalzos https://t.co/6w2t2OpCbt",10/12/2016 21:15,8.08E+17,es,3769,551
shakira,Qué lindo escucharlos cantar chantaje! Un beso para ti @maluma y todos en Argentina!! Shak https://t.co/abHSucvyWU,10/12/2016 19:58,8.08E+17,es,4602,1005
shakira,No se pierdan este video de #Chantaje con una coreografía espectacular de @WilldaBeast__ https://t.co/6UAVkFCScq ShakHQ,09/12/2016 18:12,8.07E+17,es,2307,432
shakira,Felicidades a Dayana del Colegio @fpiesdescalzos por ser campeona panamericana de patinaje - estamos orgullosos de ti! Shak,09/12/2016 15:56,8.07E+17,es,4500,582
shakira,#Chantaje es el video en español que más rápido ha alcanzado los 100M de visitas y ser certificado por @vevo https://t.co/hF1MESxQUR ShakHQ,08/12/2016 22:37,8.07E+17,es,2026,607
shakira,Tres @premiolonuestro nominaciones! Sintiendo mucho el cariño después de este viaje increíble a Latinoamérica. Un b… https://t.co/OJMJFFkz7Y,08/12/2016 19:30,8.07E+17,es,4507,772
shakira,#Chantaje 100 millones de visitas / 100 million views 💯▶️🎉 https://t.co/wF6sqzsOXB,08/12/2016 15:46,8.07E+17,es,10300,1834
shakira,Descubran el nuevo perfil de Shak y su #ChantajeDanceOff ahora mismo en @musicallyapp. Pueden superar la versión de… https://t.co/sSlVoO8XVi,07/12/2016 23:22,8.07E+17,es,4017,791
shakira,Hola Chile! Les esperamos a las 6 de la tarde hoy en el Mall Plaza Vespucio de Santiago donde Shaki presentará su f… https://t.co/y2lrAx5qvu,05/12/2016 15:34,8.06E+17,es,5751,798
shakira,"Shak gone wild in Santiago, Chile// En una heladería de Santiago, Chile.  ShakHQ #dance https://t.co/KQYm5hETCb",04/12/2016 23:02,8.06E+17,es,7056,1293
shakira,"Hola Chile! Shakira presentará mañana en Santiago, su última fragancia #Dance. Todos los detalles aquí -&gt;… https://t.co/NpZ8QCXrQ3",04/12/2016 15:49,8.05E+17,es,4740,727
shakira,"Creo que a Sasha le gusta mi nueva canción! / 
I think that Sasha likes my new song! Shak https://t.co/QlYW8yKs22",03/12/2016 21:55,8.05E+17,es,12838,2035
shakira,"Más de 750 millones de streams para La Bicicleta y Chantaje en el mundo! Noche increíble, gracias a los fans! Shak https://t.co/udaSTuhPhz",02/12/2016 14:34,8.05E+17,es,4174,908
shakira,"Gracias a @Los40_Spain por esta noche! A mi equipo y a mi mgmt Jay Brown y Jaime Levine, por estar conmigo hoy y ay… https://t.co/zYhvUaoJHY",01/12/2016 23:10,8.04E+17,es,5890,1036
shakira,Acabo de recibir una noticia increíble. La @fpiesdescalzos sede Barranquilla lidera la lista de los mejores colegio… https://t.co/TH44KLolBu,30/11/2016 15:48,8.04E+17,es,7138,1472
shakira,50MM de visitas en 11 días con el vídeo de #Chantaje!! Vamos por los 100? / 50M views of the #Chantaje vid in 11 da… https://t.co/N7VcIEJSiH,30/11/2016 14:08,8.04E+17,es,9536,1326
shakira,40 millones de visitas el video de #Chantaje en solo 10 días! Gracias a todos por esta noticia!! Shak https://t.co/lBQDK1JPnU,28/11/2016 22:09,8.03E+17,es,4932,841
shakira,30 million views in 8 days! Thank you! / 30 millones de reproducciones en 8 días! Gracias! #Chantaje… https://t.co/8OFO6WLeGZ,26/11/2016 21:26,8.03E+17,es,6138,1163
shakira,Sometimes I like to play at being behind the camera for a change / A veces me gusta creer que soy yo quien está det… https://t.co/jt8K9I4Xz3,25/11/2016 20:13,8.02E+17,es,8026,938
shakira,En este día con mi gran amiga @GabyVacaGuzman. Gracias a la vida también por la amistad! Shak https://t.co/IGCsXV0QNJ,24/11/2016 18:17,8.02E+17,es,6990,733
shakira,Gracias x enviar miles de nombres xa mi cerdito de #Chantaje (https://t.co/hF1MESgfwh). He escogido el de… https://t.co/GuyhCUf0Fj,23/11/2016 21:40,8.02E+17,es,3000,594
shakira,Qué nombre artístico se les ocurre para mi cerdito? / What stage name can you all think of for my piglet? Shak https://t.co/9COcDqsHT1,23/11/2016 15:11,8.01E+17,es,9962,1548
shakira,#Chantaje recibe más de un millón de reproducciones al día en @Spotify!  https://t.co/oEim4DaRTo ShakHQ,22/11/2016 23:23,8.01E+17,es,1907,471
shakira,Check out my other feature in the video for Chantaje! / Aquí está mi otro invitado en el video de #Chantaje! https://t.co/mprFQ46Zmu,22/11/2016 17:02,8.01E+17,es,4764,831
shakira,10m views in 3 days! 10m de reproducciones en 3 días!  #Chantaje https://t.co/hF1MESxQUR ShakHQ https://t.co/mFam0VIAvC,21/11/2016 15:11,8.01E+17,es,6101,1273
shakira,"Aquí está Shak en el bar del video de #Chantaje. Pueden ver el video aquí https://t.co/XQyeBgfqKR
ShakHQ https://t.co/j869tCFVB6",18/11/2016 20:51,8.00E+17,es,3187,829
shakira,Ya está aquí! El video oficial de #Chantaje con @Maluma! https://t.co/XQyeBgfqKR ShakHQ,18/11/2016 14:03,8.00E+17,es,2484,1192
shakira,"Gracias a mi público por estos 2 Grammy's, a @carlosvives, a Afo, a  mi equipo, a mi vida @3gerardpique y a mis ang… https://t.co/YpUxvLXGxC",18/11/2016 11:05,8.00E+17,es,13149,2595
shakira,En pocas horas! Les prometo que el agua no estaba fría sino no me estaría riendo! Shak https://t.co/lbw01Fjqro,18/11/2016 04:18,7.99E+17,es,6149,1095
shakira,No se pierdan un adelanto del video de #Chantaje hoy en la alfombra roja de los @LatinGrammys en @univision! ShakHQ https://t.co/RbyjWLKxZk,17/11/2016 23:09,7.99E+17,es,2386,697
shakira,Un beso para mis amigos de @LatinGRAMMYs. Esta noche podrán ver un adelanto de mi nuevo video ft @maluma por @Univision en la Alfombra Roja,17/11/2016 22:05,7.99E+17,es,3803,882
shakira,Ya casi es viernes! Relájate y disfruta de este hipnótico video de Shakira con la letra oficial de #Chantaje https://t.co/htHAjvpKll ShakHQ,16/11/2016 17:07,7.99E+17,es,2705,733
shakira,Mis niñitos! https://t.co/a9OLk4t3j4,15/11/2016 21:06,7.99E+17,es,8871,1412
shakira,Gracias a todos x los mensajes cariñosos a sasha durante los días que estuvo enfermito. Ahora todo bajo control y c… https://t.co/zxcj5bw4hi,15/11/2016 19:12,7.99E+17,es,25694,2713
shakira,Shak es la artista latina más escuchada en @Spotify en todo el mundo! https://t.co/oEim4DaRTo ShakHQ,14/11/2016 18:05,7.98E+17,es,2786,748
shakira,"El nuevo sencillo de Shakira, #Chantaje con @maluma, debuta en @Billboard en lo más alto! ShakHQ https://t.co/xCHgZ1Sei9",08/11/2016 23:27,7.96E+17,es,2316,691
shakira,Momentos como éste hacen que la música tenga sentido / Moments like these are what make music make sense! https://t.co/rgQk8BibgD Shak,08/11/2016 17:44,7.96E+17,es,2857,614
shakira,"Estaré de corazón acompañando a @carlosvives con ""la Bicicleta"" en los @LatinGRAMMYs celebrando este gran año que hemos compartido juntos!",07/11/2016 22:01,7.96E+17,es,1994,464
shakira,Debido a motivos que me impiden viajar a Las Vegas /Los Angeles esta vez no podré asistir a la 17 edición de los @LatinGRAMMYs ni los @AMAs,07/11/2016 22:00,7.96E+17,es,3536,709
shakira,Un poco más de ser una #moscaenlapared del estudio con Shak y @maluma! ShakHQ #ChantajeBTS https://t.co/thBDxehiFa,07/11/2016 15:54,7.96E+17,es,5166,1147
shakira,"Quieres pasar más tiempo conmigo y @maluma en el estudio? 
#moscaenlapared. Esta historia continuará mañana! Shak https://t.co/XxdN9nlo9x",05/11/2016 21:58,7.95E+17,es,6602,1318
shakira,Quieres ser una mosca en la pared y espiar como Shakira y @maluma hacen #Chantaje? No te pierdas el segundo episodi… https://t.co/3StyUpqrOT,04/11/2016 19:52,7.95E+17,es,9511,2050
shakira,Wow! #Chantaje con @Maluma ya tiene 16 millones de reproducciones en YouTube en 5 días! https://t.co/RPu88AGE1b ShakHQ,02/11/2016 15:39,7.94E+17,es,2808,659
shakira,Gracias a todos por hacer #Chantaje número 1 en 16 países. Los quiero! / Thanks everybody for making Chantaje #1 in… https://t.co/72rMxGJX6i,29/10/2016 13:40,7.92E+17,es,6413,1449
shakira,"Shakira's new single, #Chantaje, ft @Maluma is out now on @iTunes! / Chantaje ya está aquí! --&gt;… https://t.co/4tzJ3orpJh",28/10/2016 21:14,7.92E+17,es,3515,1074
shakira,Cuando @3gerardpique se ríe de ti mientras intentas grabar un video sobre #Chantaje y descubres que tienes una abej… https://t.co/6NqRODpi9H,28/10/2016 19:43,7.92E+17,es,4752,1503
shakira,No se pierdan mi nuevo sencillo #Chantaje ft @maluma en @Spotify https://t.co/oEim4DaRTo Shak https://t.co/reickBjU8j,28/10/2016 17:30,7.92E+17,es,2916,877
shakira,"Here it is! #Chantaje, ft @maluma - out now!
Ya está aquí! #Chantaje - ft Maluma ya está disponible. ShakHQ
https://t.co/IBWend4phu",28/10/2016 13:34,7.92E+17,es,2459,1126
shakira,1 hour to go / Falta una hora https://t.co/88sOI6zvB4,28/10/2016 03:00,7.92E+17,es,4209,1026
shakira,Shakira llamó a un fan y le tocó un pedacito de #Chantaje antes de su lanzamiento mañana! https://t.co/54ai5BDMeB ShakHQ,27/10/2016 22:41,7.92E+17,es,2058,556
shakira,@maluma eres un pro! Gracias por participar conmigo en esta canción. Shak,27/10/2016 21:53,7.92E+17,es,1079,471
shakira,Shak y @carlosvives actuarán en los @AMAs de este año! Se emitirán por @ABCNetwork el próximo 20 de Noviembre!… https://t.co/bHMZaQPlmD,27/10/2016 13:31,7.92E+17,es,3501,933
shakira,Shak dio en exclusiva a un fan el arte de su próximo sencillo: Chantaje con @maluma! ShakHQ https://t.co/yLdPygc2CM,26/10/2016 16:35,7.91E+17,es,5023,1328
shakira,#regram @omaardleon Resuelto el acertijo.. y esta confirmado! #Chantaje es el próximo sencillo de @Shakira ft… https://t.co/5HadWI3pI8,25/10/2016 20:23,7.91E+17,es,4142,923
shakira,Abracadabra! https://t.co/n40FLDIVII,25/10/2016 14:24,7.91E+17,es,7704,1542
shakira,"Para celebrar el lanzamiento de Dance, la nueva fragancia de Shak, nos gustaría ver Boomerangs con sus mejores movi… https://t.co/sfQUvWCu7W",18/10/2016 15:48,7.88E+17,es,11334,1455
shakira,El 15 Oct muchos colegas y amigos darán concierto por una causa importante https://t.co/rbTMivmhxH @Univision #RiseUpAsOne,07/10/2016 19:56,7.84E+17,es,2890,560
shakira,"No se pierdan el último tv-spot de la nueva fragancia de Shakira, #Dance!
ShakHQ https://t.co/vQ1ImlBRLW https://t.co/OqEVgOWQMK",06/10/2016 18:03,7.84E+17,es,5027,1124
shakira,Gigante @3gerardpique! Orgullosa de ti en el campo y fuera de él! Shak,02/10/2016 20:48,7.83E+17,es,8965,3723
shakira,"Aquí está #Dance, mi última fragancia! / Excited to reveal #Dance, my new fragrance! Look out for the TV ad soon… S… https://t.co/qHg4MVTUQD",30/09/2016 16:23,7.82E+17,es,9265,1355
shakira,Shak participa en nuevo video de @UNICEFenEspanol que nos hace imaginar un mejor futuro para nuestros niños https://t.co/4AmCQ5iB8Q ShakHQ,27/09/2016 16:59,7.81E+17,es,2535,644
shakira,"""Se hace camino al andar""... Colombia mía, queda mucho por delante; cuidar y educar a nuestros niños es cementar el camino de la paz. Shak",27/09/2016 11:48,7.81E+17,es,12885,3863
shakira,Aquí está Shak cantando y bailando en vivo Ojos Así en el año 2003. Creen que pueden bailar así? https://t.co/ejq91QNmxJ ShakHQ #dance,26/09/2016 16:04,7.80E+17,es,2794,567
shakira,Disfrutando con mis papis en el estudio con la nueva música!!! Shak https://t.co/HIZ11nODCp,23/09/2016 19:24,7.79E+17,es,9595,1147
shakira,Prepárense para lo que estamos cocinando aquí en el estudio @maluma https://t.co/btfQnuTWSS,11/09/2016 18:40,7.75E+17,es,17535,3876
shakira,Así se hizo el video de #LaBicicleta con @carlosvives en Colombia!  @carlosvives - https://t.co/SF8PBD2PfC ShakHQ 🎥🚲🇨🇴,11/09/2016 00:30,7.75E+17,es,2552,598
shakira,Estén muy atentos esta noche a @TheVoiceChile: les anunciarán algo muy especial #LoveRockByShakira ShakHQ,08/09/2016 21:31,7.74E+17,es,2766,608
shakira,Gracias a todos por sus  mensajes de cariño y buenos deseos para mi papa en su cumple!! Muah! Shak https://t.co/6Roy2R0pUH,06/09/2016 21:53,7.73E+17,es,6583,898
shakira,Feliz 85avo cumpleaños papi!! Shak https://t.co/r7Vw5oPFmh,06/09/2016 21:52,7.73E+17,es,8690,996
shakira,Video: Fundación Brindemos Sonrisas on instagram #LaBicicletaKids 🚲 ShakHQ @carlosvives https://t.co/RxJEWW8ThF,06/09/2016 00:54,7.73E+17,es,5121,850
shakira,Nos complace mucho poder anunciar que los #PremiosALASBID recibieron 1101 iniciativas procedentes de 20 países. @MorenoBID ShakHQ,05/09/2016 20:54,7.73E+17,es,2405,382
shakira,Hemos organizado por años los recuerdos que nos compartieron en #LoveRockByShakira! https://t.co/vCfHZ9E8xf ShakHQ https://t.co/sdQU1frXBi,31/08/2016 17:33,7.71E+17,es,2489,526
shakira,El video de #LaBicicleta ya tiene 150m de reproducciones! https://t.co/H8LiEMR8bW ShakHQ 🚴 CC: @carlosvives https://t.co/vpaVS1MgDC,30/08/2016 14:54,7.71E+17,es,3945,728
shakira,Felicidades @NairoQuinCo! 🇨🇴 Shak  https://t.co/2kX7NPvEKm,29/08/2016 19:18,7.70E+17,es,2389,463
shakira,"Ya se descargaron la aplicación GROW que Shak desarrolló con @FisherPrice? https://t.co/2DYRANXD3g ShakHQ
https://t.co/EhuPcGmbRf",24/08/2016 18:33,7.69E+17,es,1435,373
shakira,Qué alegría! #Oro y #Bronce para Colombia en Río! Felicitaciones @MarianaPajon y @RamirezBmx! Shak,20/08/2016 00:16,7.67E+17,es,4579,1040
shakira,Celebren la llegada del fin de semana con este remix de @maluma de #LaBicicleta en @Spotify https://t.co/6MP13PRSNj ShakHQ CC: @carlosvives,19/08/2016 20:12,7.67E+17,es,2085,541
shakira,Feliz con los éxitos de Colombia en #Rio2016. Felicitaciones Catherine y Óscar por hacernos soñar con el Oro! Vamos por más! Shak,15/08/2016 18:03,7.65E+17,es,5903,1220
shakira,El video de #LaBicicleta con @carlosvives certificado por @vevo al superar los 100 millones de reproducciones https://t.co/cIZ5hrHysg ShakHQ,13/08/2016 20:49,7.65E+17,es,3496,817
shakira,"""Los niños más adorables bailando 'La Bicicleta' de Shakira y @carlosvives"" vía @Univision ShakHQ🚲 #LaBicicletaKids  https://t.co/BaW9iN4Xp0",11/08/2016 11:38,7.64E+17,es,2119,405
shakira,Muchas gracias por todos los videos que nos mandaron con #LaBicicletaKids... Aquí algunos de nuestros favoritos. ShakHQ🚲,09/08/2016 20:28,7.63E+17,es,2465,370
shakira,Feliz cumpleaños @carlosvives https://t.co/SrsnIDH5MJ,07/08/2016 21:55,7.62E+17,es,6597,1330
shakira,Nos muestran los bailes de sus hijos usando el hashtag #LaBicicletaKids? Vamos a compartir nuestros favoritos! ShakHQ,06/08/2016 17:36,7.62E+17,es,2074,473
shakira,Barranquilla más linda que siempre! #tbt Shak https://t.co/vpUmfufloD,04/08/2016 19:54,7.61E+17,es,6531,1528
shakira,"The #LaBicicleta video now has 50M views!
El video de La Bicicleta ya tiene más de 50M de reproducciones! 
https://t.co/H8LiEMR8bW 
ShakHQ 🚲",28/07/2016 15:00,7.59E+17,es,3578,843
shakira,Nada puede competir con cantar con amigos en un auto! https://t.co/H8LiEMR8bW) ShakHQ #LaBicicleta @carlosvives https://t.co/NS24hb19Sr,27/07/2016 14:39,7.58E+17,es,3873,749
shakira,"Muchas gracias a todos los fans que compartieron sus recuerdos en la web de #LoveRock https://t.co/vCfHZ9VJoN ShakHQ
https://t.co/yETuekTnq1",21/07/2016 13:57,7.56E+17,es,2441,560
shakira,Recordando el concierto Por La Paz en 2008 con @CarlosVives! Feliz día de la Independencia #Colombia. https://t.co/6k9ekis08n,20/07/2016 18:21,7.56E+17,es,7258,1142
shakira,"De “la"" bicicleta al caballo y del caballo a “la bicicleta"" Shak https://t.co/RVznP0kHcv",19/07/2016 15:20,7.55E+17,es,6193,967
shakira,Hola! Ya han hecho el test de #LaBicicletaQuiz? Nos comparten su puntaje? https://t.co/3G41sT5zWc ShakHQ https://t.co/VmCeCcuREG,18/07/2016 13:35,7.55E+17,es,1773,402
shakira,Hagan el test #LaBicicletaQuiz para poner a prueba sus conocimientos sobre la canción y el vídeo! https://t.co/I4YNbswzQG ShakHQ 🚲,16/07/2016 13:48,7.54E+17,es,1946,506
shakira,"Ciruela, corozo, guayaba agria y mango verde! #LaBicicletavideo Shak https://t.co/8WFze9VwUM",14/07/2016 15:07,7.54E+17,es,4965,916
shakira,Empire ya es el decimocuarto video de Shak certificado por @Vevo al superar las 100 millones de ▶️ ! https://t.co/4ThNJ5Wzdk 🎉 ShakHQ,13/07/2016 16:14,7.53E+17,es,2714,701
shakira,Here it is! Ya está aquí! #LaBicicletaVideo @CarlosVives https://t.co/H8LiEMR8bW 🇨🇴🚲🇨🇴🚲🇨🇴🚲🇨🇴🚲🇨🇴,08/07/2016 12:57,7.51E+17,es,14055,5367
shakira,"Tomorrow... Mañana... #LaBicicletaVideo #8July #8deJulio @CarlosVives 🚲
https://t.co/ZpAZgv6hfF",07/07/2016 23:19,7.51E+17,es,5352,1615
shakira,Con mi primita Adri por el Sena! Shak https://t.co/sMh5l0iZEC,29/06/2016 23:01,7.48E+17,es,7339,915
shakira,Wonder where he gets it from... / Nos preguntamos a quién salió… ShakHQ https://t.co/DdmJ5BJaon,29/06/2016 18:23,7.48E+17,es,12352,2847
shakira,.@carlosvives consolando a Milan ante el gol de Italia. Shak https://t.co/ZUgaL2OIZO,29/06/2016 16:03,7.48E+17,es,9011,2101
shakira,Es la primera Eurocopa en la que marca una pareja Piqué y Shaqiri!!!,25/06/2016 17:39,7.47E+17,es,8586,5618
shakira,No es momento de bajar los brazos sino de seguir luchando por la igualdad de oportunidades https://t.co/AZuhoZU5H3 Shak,23/06/2016 12:37,7.46E+17,es,4426,1181
shakira,"Más de 4,000 personas en Argentina bailando la coreografía de @zumba de #LaBicicleta con @ZumbaBeto!
ShakHQ
https://t.co/2ODbI5Igq8",22/06/2016 16:59,7.46E+17,es,4904,1027
shakira,"En ""la Bicicleta"" por un rincón de Francia! On my ""Bicicleta"" in the French countryside! Shak https://t.co/a0Qv3LpHuL",19/06/2016 20:34,7.45E+17,es,14180,2338
shakira,A semifinales! ⚽️ Vamos Colombia! ❤️🇨🇴,18/06/2016 13:56,7.44E+17,es,7658,2073
shakira,Presupuesto permanente aprobado por el Senado para la primera infancia en Colombia https://t.co/Dvzz1DkKyv,16/06/2016 21:47,7.44E+17,es,2962,594
shakira,"Gol de Piqué, gol de España! Shak https://t.co/Xg7FPCSJHK",13/06/2016 15:37,7.42E+17,es,9595,3105
shakira,Celebrando el gol de papa con La Roja!! https://t.co/g9rKp3OROq,13/06/2016 15:13,7.42E+17,es,12461,3923
shakira,Try Everything de #Zootopia está nominada en los @TeenChoiceFOX! https://t.co/8T9HS06yYt ShakHQ #ChoiceMovieTVSong! https://t.co/72GiYhpljL,11/06/2016 19:10,7.42E+17,es,2186,555
shakira,NUEVO VIDEO! Canten utilizando el nuevo video con la letra de #LaBicicleta de @carlosvives y Shak! https://t.co/IEmCYHQ9Ci ShakHQ 🚲🎤,10/06/2016 15:41,7.41E+17,es,1742,514
shakira,"Wow! 4,000 personas bailando la coreografía oficial de @zumba de #LaBicicleta con @ZumbaBeto​! https://t.co/QmDCniKQ46 ShakHQ",08/06/2016 19:32,7.41E+17,es,2486,577
shakira,#LaBicicleta Número uno! ShakHQ 🚲 https://t.co/PcPYLtt5dI,07/06/2016 15:07,7.40E+17,es,3290,808
shakira,".@el_pais: ""‘La bicicleta’: la canción del verano llega desde el Caribe colombiano"" https://t.co/HXXLUzX9Bj ShakHQ @carlosvives",03/06/2016 15:44,7.39E+17,es,3093,691
shakira,Seguimos buscando las mejores iniciativas en #PrimeraInfancia! Postúlate antes de Jul 31 #PremiosALASBID @MorenoBID https://t.co/lVDAgAn7Ib,02/06/2016 14:39,7.38E+17,es,1758,445
